date,MSSubClass,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,YrSold,n_LandSlope,n_ExterQual,n_HeatingQC,n_KitchenQual,date,log_SalePrice,NoRidge,NAmes,CollgCr,Blmngtn,Sawyer,IDOTRR,NWAmes,SawyerW,SWISU,BrDale,Gilbert,BrkSide,OldTown,Edwards,Mitchel,Crawfor,StoneBr,NridgHt,Somerst,ClearCr,NPkVill,Timber,MeadowV,Veenker,Blueste
2006-01-01,44.0,6.0,5.1,1975.4,1985.9,582.3,105.9,0.6,0.0,1.5,0.4,2.7,1.0,6.4,0.6,2.2,16.0,0.0,0.0,0.0,1.0,2006.0,3.0,3.4,3.9,3.5,2006-01-01,12.13767204215938,0.0,0.1,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0
2006-02-01,51.111111111111114,6.777777777777778,5.444444444444445,1981.7777777777778,1992.3333333333333,554.6666666666666,22.444444444444443,0.5555555555555556,0.1111111111111111,1.7777777777777777,0.6666666666666666,3.2222222222222223,1.0,7.111111111111111,0.6666666666666666,2.2222222222222223,30.22222222222222,0.0,0.0,0.0,2.0,2006.0,3.0,3.5555555555555554,4.333333333333333,3.6666666666666665,2006-02-01,12.16232567630238,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,69.2,6.36,5.32,1975.96,1983.76,442.48,56.64,0.6,0.04,1.56,0.32,3.0,1.0,6.72,0.6,1.76,40.64,6.72,10.36,28.0,3.0,2006.0,2.96,3.48,4.0,3.48,2006-03-01,12.051387916390551,0.0,0.2,0.0,0.04,0.04,0.0,0.08,0.04,0.04,0.0,0.04,0.0,0.08,0.04,0.08,0.04,0.0,0.16,0.08,0.0,0.0,0.04,0.0,0.0,0.0
2006-04-01,78.51851851851852,6.2592592592592595,5.2592592592592595,1975.4444444444443,1983.7037037037037,353.3333333333333,43.7037037037037,0.25925925925925924,0.037037037037037035,1.5555555555555556,0.37037037037037035,2.7777777777777777,1.037037037037037,6.518518518518518,0.5185185185185185,1.6666666666666667,14.037037037037036,0.0,8.0,18.51851851851852,4.0,2006.0,2.925925925925926,3.5555555555555554,4.407407407407407,3.5925925925925926,2006-04-01,11.977147762847645,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.0,0.07407407407407407,0.1111111111111111,0.2222222222222222,0.037037037037037035,0.0,0.0,0.037037037037037035,0.18518518518518517,0.0,0.0,0.07407407407407407,0.0,0.037037037037037035,0.0
2006-05-01,74.34210526315789,5.605263157894737,5.315789473684211,1971.2105263157894,1980.7894736842106,515.1052631578947,55.73684210526316,0.5526315789473685,0.07894736842105263,1.5263157894736843,0.18421052631578946,2.6842105263157894,1.0789473684210527,6.2105263157894735,0.5526315789473685,1.763157894736842,13.263157894736842,0.0,13.473684210526315,10.526315789473685,5.0,2006.0,2.973684210526316,3.289473684210526,3.8421052631578947,3.3684210526315788,2006-05-01,11.932637480773781,0.0,0.18421052631578946,0.07894736842105263,0.05263157894736842,0.05263157894736842,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.0,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.10526315789473684,0.07894736842105263,0.07894736842105263,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.02631578947368421,0.0,0.0,0.0
2006-06-01,66.5625,6.125,5.770833333333333,1963.4375,1982.2083333333333,413.0625,15.3125,0.375,0.041666666666666664,1.4791666666666667,0.375,2.75,1.0208333333333333,6.375,0.6875,1.6666666666666667,14.583333333333334,6.041666666666667,25.708333333333332,0.0,6.0,2006.0,2.9375,3.25,3.9791666666666665,3.4375,2006-06-01,11.974558355997445,0.041666666666666664,0.14583333333333334,0.0625,0.0,0.041666666666666664,0.041666666666666664,0.0625,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0625,0.10416666666666667,0.020833333333333332,0.020833333333333332,0.0625,0.020833333333333332,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0
2006-07-01,49.850746268656714,5.925373134328358,5.432835820895522,1972.1194029850747,1981.1940298507463,407.6268656716418,54.43283582089552,0.31343283582089554,0.07462686567164178,1.5970149253731343,0.40298507462686567,3.074626865671642,1.0746268656716418,6.791044776119403,0.5522388059701493,1.791044776119403,40.1044776119403,2.6865671641791047,14.35820895522388,39.1044776119403,7.0,2006.0,3.0,3.3582089552238807,4.17910447761194,3.4477611940298507,2006-07-01,12.039383003420921,0.05970149253731343,0.14925373134328357,0.1791044776119403,0.0,0.07462686567164178,0.014925373134328358,0.05970149253731343,0.029850746268656716,0.014925373134328358,0.0,0.05970149253731343,0.029850746268656716,0.04477611940298507,0.014925373134328358,0.05970149253731343,0.07462686567164178,0.029850746268656716,0.014925373134328358,0.014925373134328358,0.029850746268656716,0.0,0.029850746268656716,0.014925373134328358,0.0,0.0
2006-08-01,48.91304347826087,6.260869565217392,5.826086956521739,1973.304347826087,1985.695652173913,330.7826086956522,7.173913043478261,0.391304347826087,0.08695652173913043,1.6521739130434783,0.34782608695652173,2.8260869565217392,1.0,6.260869565217392,0.6086956521739131,1.7826086956521738,16.608695652173914,0.0,17.608695652173914,0.0,8.0,2006.0,2.9130434782608696,3.4782608695652173,4.304347826086956,3.8260869565217392,2006-08-01,12.106921937380145,0.0,0.043478260869565216,0.21739130434782608,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.17391304347826086,0.08695652173913043,0.13043478260869565,0.0,0.0,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.0,0.0,0.0,0.043478260869565216,0.0,0.0
2006-09-01,54.0,7.0,5.266666666666667,1982.2,1988.8666666666666,400.93333333333334,36.733333333333334,0.26666666666666666,0.06666666666666667,1.9333333333333333,0.5333333333333333,3.066666666666667,1.0,7.466666666666667,0.6666666666666666,2.066666666666667,12.0,0.0,0.0,26.666666666666668,9.0,2006.0,2.933333333333333,3.6666666666666665,4.333333333333333,3.8666666666666667,2006-09-01,12.223291444202042,0.0,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,59.791666666666664,6.166666666666667,5.416666666666667,1967.0416666666667,1978.875,342.5,20.0,0.2916666666666667,0.08333333333333333,1.5833333333333333,0.2916666666666667,2.5833333333333335,1.0,6.333333333333333,0.6666666666666666,1.8333333333333333,12.25,6.375,0.0,20.833333333333332,10.0,2006.0,2.9166666666666665,3.375,4.25,3.5,2006-10-01,11.959605386442634,0.0,0.16666666666666666,0.041666666666666664,0.125,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0
